Country,Region,Happiness.Rank,Happiness.Score,Economy.GDP.per.Capita.,Family,Health.Life.Expectancy,Freedom,Generosity,Trust.Government.Corruption,Region,Surface area (km2),Population in thousands (2017),Population density (per km2 2017),Sex ratio (m per 100 f 2017),Population age distribution <14 (in %),Population age distribution >60 (in %),Population growth rate (average annual %),International migrant stock (% of total pop),GDP: Gross domestic product (million current US$),GDP growth rate (annual % const. 2005 prices),GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Fertility rate total (live births per woman),Life expectancy at birth - females,Life expectancy at birth - males,Infant mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (tons per capita),Energy supply per capita (Gigajoules),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education Primary gross enrol ratio (females per 100 pop),Education Primary gross enrol ratio (males per 100 pop),Education Secondary gross enrol ratio (females per 100 pop),Education Secondary gross enrol ratio (males per 100 pop),Education Tertiary gross enrol ratio (females per 100 pop),Education Tertiary gross enrol ratio (males per 100 pop),Seats held by women in national parliaments,Forested area (% of land area),Refugees and others of concern to UNHCR (in thousands)
Afghanistan,Southern Asia,141,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.311870933,0.06115783,SouthernAsia,652864,35530,54.4,106.3,43.2,4.1,3.2,1.2,20270,-2.4,623.2,23.3,23.3,53.3,1458,3568,-2110,61.6,10,28.5,8.6,5.3,63.5,61,68.6,26.7,4,61.6,8.3,42,0.3,5,8.2,0.3,3.3,91.1,131.6,39.7,70.7,3.7,13.3,27.7,2.1,1513.1
Albania,Central and Eastern Europe,109,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.201312944,0.039864216,SouthernEurope,28748,2930,106.9,101.9,17.4,19,-0.1,2,11541,2.6,3984.2,22.4,26,51.7,1962,4669,-2707,41.4,18.3,40.3,15.8,1.7,79.9,75.6,14.6,57.4,2.2,106.4,63.3,130,2,36,5.9,1.3,3.5,111.7,115.5,92.5,98.8,68.1,48.7,22.9,28.2,8.8
Algeria,Middle East and Northern Africa,53,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.069436647,0.14609611,NorthernAfrica,2381741,41318,17.3,102,29.3,9.4,2,0.6,164779,3.8,4154.1,12.2,37.3,50.5,29992,47091,-17099,10.8,34.5,54.7,11.4,3,76.5,74.1,27.7,70.7,2.8,113,38.2,135,3.7,55,7.2,-,-,112.7,119.5,101.7,98.1,45.1,28.9,31.6,0.8,99.8
Angola,Sub-Saharan Africa,140,3.795000076,0.85842818,1.10441196,0.049868666,0,0.09792649,0.069720335,MiddleAfrica,1246700,29784,23.9,96.2,46.8,4,3.5,0.4,117955,3,4714.1,6.8,51.2,42,21011,8790,12221,4.2,37.6,58.2,6.6,6,63,57.4,65.4,44.1,5,60.8,12.4,146,1.4,25,3.3,-,-,100.4,156.9,22.7,35.1,8.2,10.4,38.2,46.5,45.7
Argentina,Latin America and Caribbean,24,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,SouthAmerica,2780400,44271,16.2,95.9,24.9,15.4,1,4.8,632343,2.4,14564.5,6,27.8,66.2,57733,55610,2124,2,24.8,73.1,6.5,2.3,79.8,72.2,13.7,91.8,1,143.9,69.4,256,4.7,85,4.8,3.8,5.3,109.8,110.2,110.3,103.4,102.9,63.5,38.9,10,5
Armenia,Central and Eastern Europe,121,4.375999928,0.900596738,1.007483721,0.637524426,0.198303267,0.083488092,0.026674422,WesternAsia,29743,2930,102.9,88.8,20,16.9,0.3,6.3,10529,3,3489.1,19,28.3,52.8,1776,3230,-1455,35,15.7,49.3,16.6,1.6,77,70.6,13.2,62.7,-0.1,115.2,58.2,114,1.8,46,4.5,2.8,2.8,98.5,98.5,89,88.1,46.9,41.6,9.9,11.7,19.3
Australia,Australia and New Zealand,10,7.28399992,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,Oceania,7692060,24451,3.2,99.3,19,21,1.5,28.2,1230859,2.4,51352.2,2.5,26.5,71.1,189630,189406,224,2.7,21.2,76.1,5.5,1.9,84.4,80.2,3.9,89.4,1.5,132.8,84.6,948,15.3,222,9.4,3.4,5.2,102.1,102.3,133.6,141.3,106.3,75.4,28.7,16.2,58.2
Austria,Western Europe,13,7.006000042,1.487097263,1.459944963,0.815328419,0.56776619,0.316472322,0.221060365,WesternEurope,83871,8736,106,96.2,14.1,25.1,0.6,17.5,376967,1,44117.7,1.3,28.3,70.4,145503,149299,-3795,4.7,25.6,69.7,6.2,1.4,83.5,78.4,3.3,66,0.4,157.4,83.9,118,6.9,158,11.2,5.2,5.5,102.2,103.7,97.6,102.4,89.2,74.3,30.6,46.9,166.4
Azerbaijan,Central and Eastern Europe,85,5.234000206,1.153601766,1.152400255,0.540775776,0.398155838,0.04526934,0.180987507,WesternAsia,86600,9828,118.9,99.3,23.3,10.1,1.3,2.7,53049,0.7,5438.7,6.7,49.9,43.4,9143,8532,611,36.7,14.2,49.1,5.2,2.1,74.6,68.6,31.4,54.6,1.6,111.3,77,97,3.9,61,6,3.4,2.6,105.6,107.4,-,-,27.5,23.6,16.8,13.5,623.3
Bahrain,Middle East and Northern Africa,41,6.086999893,1.488412261,1.323110461,0.653133035,0.536746919,0.172668487,0.25704217,WesternAsia,771,1493,1963.9,168.3,19.7,4.6,2,51.1,31126,2.9,22600.2,0.3,40.7,59,12892,14749,-1856,1,33.4,65.6,1.3,2.1,77.5,75.6,6.9,88.8,1.7,185.3,93.5,36,23,413,5,0.9,2.7,101.8,100.6,101.9,102.4,59.4,30.9,7.5,0.8,0.4
Bangladesh,Southern Asia,110,4.607999802,0.586682975,0.735131741,0.533241034,0.478356659,0.172255352,0.123717859,SouthernAsia,147570,164670,1265,101.7,28.4,7.3,1.2,0.9,194466,6.6,1207.9,15.5,28.1,56.3,36031,52624,-16593,40.6,19.1,40.3,4,2.2,72.9,69.8,33.3,34.3,3.6,83.4,14.4,151,0.5,11,2.8,0.4,1.9,125.1,116,67.4,59.8,11.4,15.4,20.3,11,233
Belarus,Central and Eastern Europe,67,5.568999767,1.15655756,1.444945216,0.637714267,0.295400262,0.155137509,0.156313822,EasternEurope,207600,9468,46.7,87,16.7,21.3,~0.0,11.4,54609,-3.9,5750.8,7.5,38.9,53.6,23414,27464,-4050,9.6,32,58.4,0.5,1.6,77.7,66.5,3.6,76.7,~0.0,123.6,62.2,25,6.7,122,5.7,4.1,4.9,101.3,101.4,106.4,107.8,100.7,75.9,34.5,42.5,7.9
Belgium,Western Europe,17,6.890999794,1.463780761,1.462312698,0.818091869,0.539770722,0.231503338,0.251343131,WesternEurope,30528,11429,377.5,97.3,17.1,24.6,0.6,12.3,455107,1.5,40277.8,0.7,22.2,77.1,398033,372713,25321,1.2,21.2,77.6,8.3,1.8,83,78,3.5,97.9,0.5,115.7,85.1,37,8.3,196,10.6,3,6.6,104.2,104.2,177.7,156.4,85.4,65,38,22.6,63.8
Belize,Latin America and Caribbean,50,5.955999851,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,CentralAmerica,22966,375,16.4,99.2,31.4,6.2,2.2,15,1721,1.2,4789.4,14.6,18.5,66.9,246,952,-706,16.1,15.9,67.9,11.5,2.6,72.7,67.2,14.3,44,1.9,48.9,41.6,117,1.4,36,5.8,-,6.4,110.4,115.8,81.8,79.8,28.7,17.9,9.4,60.1,3.1
Benin,Sub-Saharan Africa,143,3.657000065,0.431085408,0.435299844,0.209930211,0.425962776,0.207948461,0.060929015,WesternAfrica,114763,11176,99.1,99.5,42.7,5,2.8,2.3,8476,5.2,779.1,23.2,24.9,51.9,410,2630,-2220,43.2,10.2,46.6,1,5.2,61.4,58.5,67.7,44,3.7,85.6,6.8,88,0.6,17,4.6,0.1,4.4,123.7,134.2,46.8,66.7,8.4,22.4,7.2,38.7,0.8
